classe,num_processo,reu_preso_recorreu,seq_jurisdicionado,mp,pena_fixada_decisao_recorrida_anos,pena_fixada_decisao_recorrida_meses,sucesso_recurso,obs
REsp,1486316,,1003,false,0,0,0,Inexistência de julgamento pelo tribunal
AREsp,642165,,1886,false,0,0,0,Ação civil pública
ARE,683732,0,540,false,0,1,6,Substituição da pena privativa de liberdade 
AI,825485,,1347,false,0,0,,Agravo de execução
AI,824749,1,1689,false,0,8,9,
ARE,727030,0,889,false,0,1,1,Substituição da pena privativa de liberdade 
AI,842382,,2513,false,0,0,,Inexistência de julgamento pelo tribunal do júri
ARE,653027,0,407,false,0,0,0,Recurso concedido determinou novo julgamento
ARE,656303,0,2451,false,0,8,4,Processo sob segredo de justiça 
ARE,655849,,913,false,0,0,,Agravo de execução
ARE,666671,0,2543,false,0,2,4,
ARE,712362,0,696,false,0,20,0,
AREsp,760584,0,1502,false,0,0,,sem acesso ao voto para verificar a pena
REsp,1463629,0,2623,false,0,0,,sem acesso ao voto para verificar a pena
AREsp,502399,0,1075,false,0,0,,Recurso em sentido estrito - Pronuncia
AREsp,456469,0,801,false,4,2,,Regime Fechado
AREsp,755650,0,2237,false,5,10,,Regime Fechado
REsp,1451325,0,1531,false,4,8,,
AREsp,711316,0,1191,false,4,6,,
AREsp,596159,0,283,false,8,0,,
AREsp,679846,0,615,false,8,11,,
AREsp,565812,0,1629,false,1,4,,
REsp,1561625,0,1693,false,1,6,,
AREsp,680105,0,1860,false,4,2,,
AREsp,568303,0,1987,false,5,10,,
REsp,1464769,0,1978,false,5,0,,Regime Fechado
REsp,1469924,0,1614,false,0,0,,Habeas Corpus - trancamento de ação penal
AREsp,592831,0,1758,false,0,0,,arresto de bens
AREsp,609338,0,2487,false,0,0,,agravo regimental em apelação (não enconro disponível a decisão da apelação)
REsp,1496978,1,152,true,3,0,,Regime Fechado
REsp,1496978,1,354,false,3,0,,Regime Fechado
REsp,1499685,1,338,false,0,0,,Regime Fechado
REsp,1441710,1,1297,false,7,10,,Regime Fechado
REsp,1547471,1,462,false,3,4,,Regime Fechado
AREsp,491748,1,587,false,4,10,,
AREsp,491748,1,236,false,4,10,,
AREsp,509261,1,1000,false,4,1,,Regime Fechado
REsp,1479436,,1246,false,0,0,,Agravo de Execução Penal
AREsp,626529,,1705,false,0,0,,Segredo de Justiça
REsp,1447804,,1281,false,0,0,,Agravo de Execução Penal
REsp,1518766,0,2444,false,0,0,,anulação da sentença de ofício e remessa para primeiro grau para rever proposta de suspenção condicional
AREsp,475322,0,1535,false,0,9,,
REsp,1572299,0,535,false,2,2,,
REsp,1442636,0,2579,false,2,0,,
AREsp,828621,1,975,false,21,4,,
REsp,1563420,,1568,false,0,0,,agravo em execução penal
AREsp,743942,0,999,false,3,6,,
REsp,1498699,0,1333,false,4,6,,obs. Réu absolvido. MP recorre
REsp,1561507,0,2234,false,0,0,,
AREsp,703143,,428,false,0,0,,
AREsp,703143,,2423,false,0,0,,
AREsp,703143,,428,false,0,0,,
AREsp,703143,,2423,false,0,0,,
AREsp,703143,,2631,true,0,0,,
AREsp,541902,,1355,false,0,0,,HC
AREsp,648923,0,2455,false,2,0,,
AREsp,743676,1,1364,false,16,0,,
REsp,1558177,,2455,false,7,0,,Segredo de justiça - não há arquivo de decisão. Não há como saber se está preso. Pena no extrato.
REsp,1532959,0,26,false,1,11,,
AREsp,550145,0,16,false,0,0,,Recurso em sentido estrito - pronúncia
REsp,1466021,,59,false,0,0,,apelação cível
REsp,1525948,,428,false,0,0,,
REsp,1546067,,501,false,0,0,,Não possui decisão para consulta
AREsp,786670,0,1533,false,8,4,,
AREsp,725051,,867,false,0,0,,Recurso em sentido estrito - pronúncia
AREsp,603118,,278,false,0,0,,
AREsp,603118,,585,false,0,0,,
AREsp,603118,,1117,false,0,0,,
AREsp,603118,,585,false,0,0,,
REsp,1479841,0,1923,false,0,0,,
REsp,1445189,0,1537,false,12,0,,
AREsp,488607,0,273,false,3,6,,
AREsp,811535,0,2303,false,0,8,,
REsp,1558426,0,2652,false,1,0,,
AREsp,545047,0,263,false,8,0,,regime semi aberto
AREsp,559902,0,2023,false,6,8,,
REsp,1556108,,1432,false,0,0,,Agravo em Execução penal
AREsp,519653,,2631,true,0,0,,
AREsp,519653,,2581,false,0,0,,
AREsp,519653,,2631,true,0,0,,
AREsp,488426,0,1491,true,1,9,,
AREsp,763414,,134,false,0,0,,
AREsp,512290,,400,false,0,0,,
AREsp,512290,,2314,false,0,0,,
AREsp,512290,,2074,false,0,0,,
AREsp,512290,,2109,false,0,0,,
REsp,1438321,,2431,false,0,0,,apelação cível
AREsp,654836,0,641,true,2,6,,
AREsp,789056,0,1555,false,1,6,,
AREsp,756933,0,830,false,4,2,,
AREsp,685670,0,1952,false,0,0,,Recurso em sentido estrito - pronúncia
AI,843859,,455,false,0,0,,processo não encontrado
ARE,668202,,1288,false,0,0,,não é possível ver decisões
ARE,672882,,2110,false,0,0,,não é possível ver decisões
AI,844471,,984,true,0,0,,processo não encontrado
ARE,643242,,986,false,0,0,,processo não encontrado
AI,856811,,288,false,0,0,,não é possível ver decisões
ARE,670951,0,2167,false,10,2,,
RE,700394,1,1624,false,0,0,,
RE,700394,1,1746,false,0,0,,
AI,825063,0,391,true,0,0,,Recurso em sentido estrito contra concessão de liberdade provisória
ARE,697374,,391,true,0,0,,Agravo em Execução penal
RE,701867,,391,true,0,0,,Correição Parcial
AI,785520,,391,true,0,0,,Agravo em Execução penal
ARE,707099,0,1107,false,4,0,,
ARE,681182,0,2179,false,10,0,,
ARE,703867,,1513,false,0,0,,processo não encontrado
ARE,664504,,2675,false,0,0,,novo julgamento
RE,721838,,1254,true,0,0,,processo não encontrado
AREsp,457757,1,1024,false,11,8,,regime inicial fechado
AREsp,674151,,2171,false,0,0,,acórdão não disponível
AREsp,484438,1,641,true,5,9,,regime inicial fechado
AREsp,780385,1,641,true,6,0,,regime fechado
AREsp,750567,0,1461,false,3,4,,
AREsp,473738,0,1285,false,3,0,,
AREsp,473738,0,1138,false,3,4,,
AREsp,589631,0,1138,false,2,0,,penas restritivas de direitos
AREsp,541450,,1997,false,0,0,,execução penal
AREsp,722300,0,230,false,0,0,,reformação de sentença de absolvição
REsp,1552324,0,1012,false,0,0,,processo suspenso
REsp,1557573,,428,false,0,0,,recurso em sentido estrito
REsp,1539554,0,383,false,0,0,,réu absolvido na 2a instância
AREsp,673585,,886,false,0,0,,processo não está em tramitação
AREsp,784279,0,1491,true,3,0,,penas restritivas de direitos
REsp,1459972,0,350,false,0,0,,punibilidade extinta
AREsp,822705,1,506,false,12,4,,
REsp,1476894,0,1859,false,4,6,,
AREsp,733691,0,1859,false,2,0,,penas restritivas de direitos
AREsp,544660,0,1859,false,0,0,,réu absolvido na 2a instância
AREsp,794964,0,2291,false,0,0,,réu absolvido na 2a instância
AREsp,783072,0,2471,false,2,8,,penas restritivas de direitos
AREsp,692936,0,1835,false,5,0,,regime semiaberto
AREsp,787894,,428,false,0,0,,
AREsp,788554,0,369,false,0,0,,Recurso do MP contra absolvição
AREsp,651005,,1176,false,0,0,,
AREsp,651005,,267,false,0,0,,
AREsp,556946,,2126,false,0,0,,
AREsp,556946,,2642,false,0,0,,
AREsp,556946,,1322,false,0,0,,
REsp,1557685,0,2665,false,10,0,,
AREsp,531060,,2272,false,0,0,,processo não encontrado(mas consta como preso)
AREsp,696443,0,2275,false,0,0,,pena não encontrada
AREsp,726068,0,488,false,5,4,,regime semiaberto
AREsp,528660,,2102,false,0,0,,área cível
AREsp,596655,,3,false,0,0,,pena de prestação pecuniária
REsp,1457372,0,2293,false,1,6,,penas restritivas de direitos
AREsp,771834,0,1648,false,14,0,,
REsp,1560094,1,1380,true,0,0,,quantum não encontrado
REsp,1511466,1,2455,false,0,0,,processo não encontrado (mas réu preso)
AREsp,498969,0,2455,false,6,0,,
REsp,1463915,0,2455,false,0,0,,réu absolvido na 2a instância
REsp,1547420,,933,false,0,0,,recurso em sentido estrito
REsp,1559423,0,2529,false,0,0,,processo suspenso
REsp,1525431,0,192,false,1,4,,
AREsp,771701,,1223,false,0,0,,Agravo de execução
REsp,1537226,0,1076,false,0,9,,Prescrição da punibilidade
AREsp,618884,0,401,false,2,5,,
AREsp,561300,0,1076,false,0,0,,Recurso do MP contra desprovimento da denúncia
REsp,1498654,0,1018,false,0,0,,Recurso do MP contra não acatamento de denúncia
REsp,1471506,1,1456,false,8,6,,
AREsp,810580,0,2307,false,6,0,,
REsp,686489,0,345,false,6,0,,
REsp,686489,0,164,false,0,0,,réu absolvido na segunda instância
AREsp,654860,0,2663,true,3,4,,penas restritivas de direito
REsp,1465517,0,2641,false,2,4,,penas restritivas de direito
REsp,1465517,0,1312,false,2,4,,penas restritivas de direito
AREsp,644082,1,152,true,1,8,,inicialmente fechado (lei dos crimes hediondos)
REsp,681400,0,146,false,3,2,,regime inicial semiaberto
AREsp,1527843,1,338,false,1,0,,regime fechado
AREsp,726067,1,592,false,6,7,,HC denegado na 2a instância
AREsp,474855,1,1130,false,12,2,,
AREsp,804300,1,2443,false,4,10,,
AREsp,463484,1,1103,false,1,0,,regime inicial fechado
AREsp,768148,0,386,false,4,0,,
REsp,571423,0,260,false,3,0,,
REsp,577517,0,2428,false,3,0,,
REsp,577517,0,217,false,6,0,,regime inicial semiaberto
AREsp,1491627,0,1039,false,0,0,,réu absolvido na segunda instância
REsp,610921,0,836,false,4,2,,regime inicial fechado
ARE,664834,,1264,true,0,0,,
ARE,726751,1,209,false,2,9,,regime fechado
AI,853580,,1379,false,0,0,,processo baixado
AI,856083,,2276,false,0,0,,
ARE,725595,,914,false,0,0,,processo não encontrado
AI,792756,,915,false,0,0,,
AI,831015,,1529,false,0,0,,
AI,817869,,391,true,0,0,,
AI,812689,0,763,false,0,0,,
ARE,660529,0,2179,false,10,0,,
AREsp,573706,0,1138,false,0,4,,
AREsp,567763,0,442,false,1,8,,
AREsp,517315,1,1138,false,1,2,,
AREsp,724328,0,2054,false,7,8,,
REsp,1508664,0,1138,false,2,0,,
AREsp,461043,,2486,false,0,0,,
REsp,1448478,0,1138,false,2,3,,
AREsp,788921,0,2571,false,2,0,,
AREsp,522705,0,1740,false,14,0,,
AREsp,770636,0,1506,true,5,4,,
AREsp,531159,1,555,false,8,2,,
AREsp,556372,,374,false,0,0,,Direito Administrativo
AREsp,529577,0,2260,false,2,0,,
AREsp,734247,,1575,false,0,0,,Sem info na decisão.
AREsp,643452,0,428,false,2,6,,
AREsp,542798,0,1135,false,12,6,,
AREsp,667711,,443,false,0,0,,Direito Civil
AREsp,802413,0,1523,false,10,6,,
REsp,1483744,,1593,false,0,0,,Informação e decisão não disponível.
REsp,1457536,1,165,false,5,0,,
REsp,1482956,,1605,false,0,0,,Processo não encontrado - sem decisão stj
REsp,1566633,1,1912,false,4,2,,
AREsp,684441,0,879,false,4,2,,
AREsp,811434,0,2216,false,2,0,,
AREsp,458340,0,484,false,2,6,,
AREsp,712109,1,1723,false,5,10,,
AREsp,654849,0,1851,false,0,0,,Segredo de Justiça
AREsp,698567,0,1504,false,3,0,,
REsp,1531745,,1709,false,0,0,,Direito Civil
REsp,1554510,0,2449,false,3,10,,
AREsp,605075,,961,false,0,0,,Recurso em sentido em estrito.
AREsp,467115,0,2689,false,0,0,,"HC Inquérito anulado, ação trancada"
AREsp,728732,,1563,false,0,0,,Processo não encontrado
AREsp,617609,,1527,true,0,0,,Segredo de Justiça
REsp,1468201,0,2455,false,0,0,,Punibilidade extinta
REsp,1525046,0,2455,false,0,0,,Sentença anulada
REsp,1452920,1,698,false,12,0,,
AREsp,467926,,1080,false,0,0,,Segredo de Justiça
AREsp,678040,1,1304,false,19,0,,
REsp,1444926,,2455,false,0,0,,Agravo em execução
AREsp,746620,0,665,false,6,8,,Regime fechado
AREsp,695908,0,1478,false,2,0,,
REsp,1519459,0,1076,false,1,0,,
REsp,1478222,0,1030,false,0,0,,Absolvido
AREsp,510444,1,1177,false,17,0,,
REsp,1456278,,1076,false,0,0,,Recurso em sentido estrito. Pronúncia.
REsp,1524980,0,1209,false,4,0,,
REsp,1443695,,1076,false,0,0,,Agravo em execução
AREsp,492274,0,1481,false,3,6,,
REsp,1465927,0,1725,false,5,3,,
REsp,1465927,0,353,false,2,3,,
AREsp,803758,0,2119,false,4,6,,
REsp,1502068,0,428,false,0,3,,
AREsp,819412,0,2271,false,2,8,,
AREsp,724767,1,428,false,6,1,,Regime Fechado
REsp,1502705,0,1121,false,3,4,,
REsp,1458729,,428,false,0,0,,Processo não encontrado.
AREsp,577270,0,514,false,2,4,,
AREsp,824301,0,1752,false,1,4,,
REsp,1537585,0,646,false,0,0,,absolvido
AREsp,496105,0,2327,false,3,0,,
ARE,718000,0,2720,false,4,9,,
AI,855800,,1236,false,0,0,,
ARE,660608,,763,false,0,0,,Não encontrada
AI,828286,0,453,false,5,4,,Dados decisão do STF
RE,724418,,2174,true,0,0,,Processo não esta em tramitação
AI,787169,,780,false,0,0,,Decisão não disponível
RE,639851,,1264,true,0,0,,Processo não encontrado
AI,851352,,2211,false,0,0,,Não e possível buscar com número.
ARE,637980,0,2089,false,0,0,,
ARE,637980,1,153,false,0,0,,
AI,812620,0,1551,true,1,11,,Decisão 1a instância.
AI,824712,,271,true,0,0,,Sem decisão e dados
ARE,704870,0,726,false,5,4,,
RE,644239,0,2451,false,7,3,,
REsp,1465181,0,1979,false,2,6,,Substituiu por restritiva de direitos
AREsp,716105,1,2549,false,18,0,,Regime Fechado com continuação da prisão preventiva
AREsp,742673,,2190,false,0,0,,Pede senha; segredo de justiça
REsp,1518288,,1415,false,0,0,,Pede senha; segredo de justiça
REsp,1468319,0,71,false,0,0,,Achei na Jurisprudencia. Concessão de HC para determinação do Alvará de Soltura de pcustódia cautelar
REsp,1527198,0,2532,false,16,4,,Regime Fechado
AREsp,722544,0,321,false,0,0,,Substituição por restritiva de direitos
REsp,1491432,0,1586,false,6,2,,Não diz a situação carcerária
REsp,1529080,,2323,false,0,0,,Agravo em Execução
AREsp,811174,0,410,false,2,3,,Substituição por restritiva de direitos
AREsp,613141,0,2049,false,5,0,,Regime Semiaberto
REsp,1476473,0,905,false,0,0,,Prescrição
AREsp,550581,0,651,false,1,8,,Regime Aberto
AREsp,628558,1,2031,false,5,6,,
REsp,1484744,0,445,false,9,0,,
REsp,1541294,0,872,false,6,7,,Fechado
REsp,1434907,0,991,false,2,8,,Semiaberto
AREsp,484849,1,1667,false,6,2,,
AREsp,551099,0,951,false,0,0,,Foi absolvido em 1ª instância. O TJ anulou o julgamento do tribunal do juri e determinar que a outro seja submetido o réu
REsp,1538193,0,2136,false,3,6,,Semiaberto
AREsp,605100,,1686,false,0,0,,Não achei o processo
REsp,1503712,,338,false,0,0,,Não achei o processo
REsp,1553481,0,251,false,5,7,,Fechado
AREsp,618330,0,1736,false,1,4,,Substituição da pena
AREsp,627216,0,1372,false,3,6,,Fechado
AREsp,648636,0,258,false,6,4,,Não diz a situação carcerária
AREsp,745049,0,480,false,8,2,,Não diz a situação carcerária
REsp,1517435,0,1612,false,6,0,,
AREsp,606900,,444,false,0,0,,"Aparecem diversas movimentações, mas não há link para o acórdão."
AREsp,606900,,2305,false,0,0,,"Aparecem diversas movimentações, mas não há link para o acórdão."
AREsp,606900,,2298,false,0,0,,"Aparecem diversas movimentações, mas não há link para o acórdão."
AREsp,606900,,485,true,0,0,,"Aparecem diversas movimentações, mas não há link para o acórdão."
AREsp,737558,,1565,false,0,0,,"Há uma apelação, mas de outro réu (JONATHAN). Mas há uma sentença com os JOSIMAR E JONATHAN"
AREsp,559905,,2217,false,0,0,,Só há sentença. Não tem o acórdão
AREsp,764993,0,1774,false,0,0,,"Tribunal do Juri. Foi preso em flagrante. Não diz a situação carcerária, nem o quantum de pena."
REsp,1476786,,1087,false,0,0,,Não achei o processo
REsp,1510089,0,289,false,2,0,,Regime Aberto
REsp,1511397,0,1994,false,0,0,,Absolvido
REsp,1483651,,33,false,0,0,,Agravo de Execução
REsp,1444103,0,500,false,1,9,,SEMIABERTO
AREsp,517034,,1076,false,0,0,,Afastamento do p. da insignificância com determinação de regular processamento do feito
REsp,1530878,0,552,false,0,0,,Substituição para restritiva de direitos
AREsp,486657,,1385,false,0,0,,Agravo em Execução
REsp,1476877,0,1218,false,0,0,,Absolvido
REsp,1547899,0,511,false,0,0,,Absolvido
REsp,1477098,0,1404,false,0,0,,Absolvido
AREsp,535234,,1459,false,0,0,,Agravo de Execução
AREsp,646231,0,1651,false,0,0,,Absolvido
AREsp,519658,,428,false,0,0,,
AREsp,519658,,2631,true,0,0,,
AREsp,798169,,2631,true,0,0,,
AREsp,621058,,2631,true,0,0,,
AREsp,621058,,428,false,0,0,,
AREsp,739563,,2631,true,0,0,,
AREsp,739563,,654,false,0,0,,
AREsp,739563,,2631,true,0,0,,
AREsp,615965,,428,false,0,0,,
REsp,1558312,0,866,false,0,0,,Manutenção de rejeição da denùncia
AREsp,762307,0,2577,false,3,0,,Regime aberto
AREsp,712405,,949,false,0,0,,Não diz a pena nem a situação carcerária
AREsp,723774,0,1391,false,0,0,,Processo extinto em primeira instância sem resolução de mérito. MP apelou e venceu na 2ª instância. A ação penal prosseguirá em 1ª instância.
AREsp,760286,0,937,false,1,9,,Substituição da pena
ARE,667927,0,2223,false,1,0,,Regime Aberto
ARE,684522,0,656,false,8,8,,"""Determinou a expedição de guia de execução provisória, após o trânsito em julgado da sentença"""
AI,797526,,1616,false,0,0,,
AI,783285,0,2412,false,6,0,,FECHADO
AI,817092,0,2313,false,2,6,,ABERTO
AI,789158,0,2346,false,7,0,,SEMIABERTO
ARE,657632,0,630,false,1,4,,Aberto
RE,630606,0,1463,false,2,2,,Regime Aberto
ARE,719483,,1819,false,0,0,,Processo Cívil
ARE,647986,,1163,false,0,0,,Não achei o processo
AREsp,512290,,145,false,0,0,,'3178624'
AREsp,512290,,520,false,0,0,,'3178624'
AREsp,504760,0,2458,false,3,0,,
AREsp,627160,0,2384,false,5,4,,
REsp,1558421,0,491,false,0,0,,
AREsp,494519,0,1521,false,0,0,,regime fechado
AREsp,485297,,17,false,0,0,,Não possui decisão para consulta
REsp,1500929,0,1009,false,0,0,,acordâo no sentido de declarar a nulidade da sentença e remeter ao juízo a quo
AREsp,743417,0,1856,false,5,9,,
RE,708117,,154,false,0,0,,não é possível ver decisões
AI,786252,,279,false,0,0,,processo não encontrado
ARE,722466,,391,true,0,0,,Agravo em Execução penal
AI,820037,0,2388,false,2,1,,
ARE,650065,,487,false,0,0,,denúncia - queixa
REsp,1508741,,430,false,0,0,0,Discussão a respeito da suspensão condic
AREsp,735012,0,2539,false,5,0,0,
AREsp,548356,0,820,false,0,5,0,
AREsp,710434,0,2122,false,1,2,0,
REsp,1493490,1,2617,false,2,4,0,
AREsp,545070,0,953,false,5,4,0,
AREsp,545070,0,1861,false,5,4,0,
AREsp,458649,,733,false,0,0,0,Réu absolvido em procedimento ordinário
AREsp,542152,0,1068,false,5,0,0,
AREsp,537571,,2175,false,0,0,0,Pedido de visitação na prisão
REsp,1525563,0,2590,false,2,0,0,Substituição da pena privativa de liberd
REsp,1483679,0,212,false,6,0,0,
AREsp,819185,0,162,false,1,0,0,Substituição da pena privativa de liberd
AREsp,578289,0,381,false,4,6,0,
AREsp,798950,0,1530,false,5,0,0,
REsp,1464146,0,339,false,3,4,0,Substituição da pena privativa de liberd
AREsp,738842,0,1327,false,1,4,0,
AREsp,820164,1,458,false,4,1,0,
AREsp,746527,0,2177,false,2,8,0,Substituição da pena privativa de liberd
AREsp,703951,0,293,false,2,0,0,
AREsp,566956,0,18,false,7,1,0,
REsp,1537237,,658,false,0,0,0,Agravo de execução
AREsp,509409,0,1753,false,1,1,0,
AREsp,485542,0,2461,false,4,8,0,
AREsp,545690,,395,false,0,0,0,Inexistência de julgamento pelo tribunal
REsp,1470695,0,1112,false,4,8,0,
AREsp,475610,,4,false,0,0,0,Acórdão não encontrado
AREsp,518022,0,2147,false,0,6,0,Substituição da pena privativa de liberd
REsp,1442661,,974,false,0,0,0,Réu absolvido em procedimento ordinário
AREsp,541614,0,569,false,5,2,0,
AREsp,770665,0,2324,false,3,4,0,Substituição da pena privativa de liberd
REsp,1458924,,1820,false,0,0,0,Agravo de execução
AREsp,780559,,2162,false,0,0,0,Inexistência de julgamento pelo tribunal
AREsp,789018,1,97,false,7,7,0,
AREsp,664961,1,1418,false,6,0,0,
AREsp,753021,0,1222,false,13,0,0,
AREsp,786082,,77,false,0,0,0,Agravo de execução
AREsp,786082,,1769,false,0,0,0,Agravo de execução
AREsp,786082,,172,false,0,0,0,Agravo de execução
AREsp,786082,,2012,false,0,0,0,Agravo de execução
AREsp,786082,,1602,false,0,0,0,Agravo de execução
AREsp,786082,,1324,false,0,0,0,Agravo de execução
AREsp,786082,,2495,false,0,0,0,Agravo de execução
AREsp,786082,,2603,false,0,0,0,Agravo de execução
AREsp,786082,,2426,false,0,0,0,Agravo de execução
AREsp,786082,,924,false,0,0,0,Agravo de execução
AREsp,786082,,1999,false,0,0,0,Agravo de execução
AREsp,786082,,2405,false,0,0,0,Agravo de execução
AREsp,786082,,1081,false,0,0,0,Agravo de execução
AREsp,786082,,1850,false,0,0,0,Agravo de execução
AREsp,786082,,81,false,0,0,0,Agravo de execução
AREsp,786082,,36,false,0,0,0,Agravo de execução
AREsp,786082,,40,false,0,0,0,Agravo de execução
AREsp,786082,,1815,false,0,0,0,Agravo de execução
AREsp,548488,0,53,false,0,0,0,Pena não informada
REsp,1545150,0,196,false,1,0,0,Substituição da pena privativa de liberd
AREsp,803848,,992,false,0,0,0,Inexistência de julgamento pelo tribunal
AREsp,543316,1,475,false,2,1,0,Substituição da pena privativa de liberd
AREsp,487833,,464,false,0,0,0,Acórdão não encontrado
REsp,1506985,1,193,false,13,0,0,
AREsp,698575,,985,false,0,0,0,Inexistência de julgamento pelo tribunal
AREsp,526556,,2354,false,0,0,0,Inexistência de julgamento pelo tribunal
AREsp,590952,,2007,false,0,0,0,Inexistência de julgamento pelo tribunal
REsp,1452883,0,285,false,3,6,0,
REsp,1430716,1,2429,false,5,6,0,
REsp,1477846,0,29,false,0,0,0,Réu absolvido no recurso
AREsp,719190,0,681,false,14,0,0,
REsp,1563252,0,2392,false,0,0,0,Pagamento de multa
REsp,1501820,0,41,false,7,3,0,
REsp,1486316,,2267,false,0,0,0,Inexistência de julgamento pelo tribunal
RE,711661,0,2118,false,0,4,3,
ARE,683732,0,2333,false,0,1,6,Substituição da pena privativa de liberdade 
AI,845654,1,1827,false,0,2,6,
AI,816430,0,1839,false,0,1,8,
AI,796710,0,497,false,0,2,0,Substituição da pena privativa de liberdade 
AI,831682,,1719,false,0,0,,Processo arquivado (princípio da insignificância)
AI,831682,,1274,false,0,0,,Processo arquivado (princípio da insignificância)
ARE,705087,0,1756,false,0,4,0,Substituição da pena privativa de liberdade 
RE,712503,,1898,false,0,0,,Acordão não encontrado
RE,608670,0,2076,false,0,7,0,
ARE,661663,,2335,false,0,0,,Acordão não encontrado
RE,691135,,2328,false,0,0,,Inexistência de julgamento pelo tribunal do júri
RE,635145,0,1901,false,0,0,6,Substituição da pena privativa de liberdade 
AI,804768,0,1389,false,0,2,1,Substituição da pena privativa de liberdade 
AREsp,740431,0,2035,false,0,0,,sem acesso ao voto para verificar a pena
AREsp,741681,1,1717,false,0,0,,sem acesso ao voto para verificar a pena
AREsp,782335,1,1431,false,16,0,,
AREsp,577265,,1157,false,0,0,,recurso em sentido estrito
AREsp,722136,0,1256,false,1,2,,
AREsp,712054,0,2205,false,7,6,,Regime Fechado
AREsp,712054,0,2592,false,7,6,,Regime Fechado
AREsp,712054,0,2262,false,7,6,,Regime Fechado
REsp,1501543,0,510,false,3,0,,Regime Fechado
AREsp,528656,0,456,false,4,8,,
AREsp,681604,0,2620,false,1,2,,Regime Fechado
AREsp,465822,0,181,false,5,4,,
AREsp,529314,0,465,false,6,10,,
AREsp,579492,0,1321,false,0,2,,
AREsp,679846,0,152,true,8,11,,
AREsp,735915,0,2310,false,3,0,,
REsp,1496978,1,832,false,3,0,,Regime Fechado
AREsp,600800,1,1420,false,5,0,,Regime Fechado
AREsp,785918,1,404,false,4,10,,
AREsp,491748,1,1854,false,4,10,,
REsp,1547894,,2594,false,0,0,,Agravo de Execução Penal
REsp,1433926,0,2266,false,4,6,,
AREsp,724776,0,672,false,5,4,,
AREsp,634447,1,1023,false,4,2,,Regime Fechado
REsp,1559998,,428,false,0,0,,Habeas corpus - trancamento de ação penal
REsp,1547258,0,1153,false,2,4,,
REsp,1498699,0,1333,false,4,6,,
REsp,1465096,0,250,false,0,0,,
AREsp,535176,0,1035,false,0,8,,
REsp,1511404,0,1233,false,3,6,,
REsp,1427658,0,2614,false,0,8,,
AREsp,505781,1,396,false,5,4,,
REsp,1444764,1,1598,false,8,0,,
REsp,1492725,,1603,false,0,0,,Agravo em execução penal - indulto -1/3 da pena
AREsp,703143,,428,false,0,0,,
AREsp,738728,0,2473,false,0,0,,
AREsp,601856,0,2716,false,5,0,,Regime fechado
AREsp,648916,0,93,false,5,4,,
AREsp,501466,0,2609,false,3,0,,
AREsp,659241,,2360,false,0,0,,recurso em sentido estrito
REsp,1497981,,225,false,0,0,,Habeas Corpus
AREsp,696528,0,2524,false,8,8,,
AREsp,603118,,768,false,0,0,,
AREsp,603118,,2631,true,0,0,,
AREsp,603118,,434,false,0,0,,
AREsp,546485,,428,false,0,0,,
AREsp,546485,,2631,true,0,0,,
AREsp,700562,0,284,false,0,3,,
AREsp,548503,0,829,false,3,0,,Regime Fechado
AREsp,682335,0,1947,false,5,0,,
AREsp,822376,0,2474,false,7,0,,Regime Fechado
AREsp,524922,0,509,false,2,0,,
REsp,1484438,0,2676,false,0,0,,Apelação do MP para afastar o princípio da insignificância
AREsp,596673,0,1298,false,5,4,,
AREsp,724636,0,470,false,2,11,,
REsp,1543067,1,1033,false,9,6,,
AREsp,482149,,428,false,0,0,,
AREsp,482149,,428,false,0,0,,
AREsp,482149,,2631,true,0,0,,
AREsp,638495,0,1491,true,3,6,,
AREsp,638495,0,259,false,24,0,,
AREsp,512290,,87,false,0,0,,
AREsp,512290,,629,false,0,0,,
AREsp,512290,,270,false,0,0,,
AREsp,512290,,2631,true,0,0,,
REsp,1442579,0,426,false,1,0,,aoelação prejudicada
REsp,1434475,0,0,false,4,1,,
AREsp,785765,0,1138,false,7,0,,
AREsp,693827,0,159,false,0,3,,
REsp,1538066,0,1596,false,2,3,,Regime Fechado
AREsp,799294,0,2638,false,1,0,,
REsp,1450679,,1714,false,0,0,,conflito de competência em ação penal de crime de responsabilidade
AREsp,568412,0,1679,false,0,0,,acordâo no sentido de declarar a nulidade da sentença e remeter ao juízo a quo
ARE,726780,,2413,false,0,0,,processo não encontrado
ARE,674825,0,2229,false,0,8,,
RE,652730,0,1799,false,0,1,,
AI,838663,,2501,false,0,0,,processo não encontrado
AI,837150,,1264,true,0,0,,
RE,700394,1,441,false,0,0,,
ARE,723445,0,2368,false,3,6,,
AI,856440,0,2382,false,2,8,,
AI,841775,,1701,false,0,0,,processo não encontrado
ARE,718618,,754,false,0,0,,"no sistema do TJ SP, o número encontra um processo diverso."
AREsp,810791,,857,false,0,0,,segredo de justiça
AREsp,518776,,705,false,0,0,,segredo de justiça
AREsp,494704,0,2249,false,5,0,,
REsp,1471927,0,428,false,3,0,,penas restritivas de direitos
AREsp,749747,0,641,true,11,0,,
AREsp,749747,0,1428,false,11,0,,
AREsp,523517,,1336,false,0,0,,área cível
AREsp,473738,0,641,true,3,0,,
AREsp,733177,0,1138,false,0,5,,
AREsp,531692,1,205,false,4,7,,regime inicial fechado
AREsp,757225,,431,false,0,0,,processo não está em tramitação
