classe,num_processo,reu_preso_recorreu,seq_jurisdicionado,mp,pena_fixada_decisao_recorrida_anos,pena_fixada_decisao_recorrida_meses,sucesso_recurso,obs
AREsp,734157,1,317,false,30,0,,
AREsp,743808,,496,false,0,0,,agravo em execução penal
REsp,1451412,0,1370,false,0,0,,recurso em sentido estrito - denúncia rejeitada
AREsp,618362,0,1366,false,2,0,,
REsp,1448534,1,605,false,0,0,,
REsp,1549368,,1739,false,0,0,,agravo em execução
AREsp,608041,,678,false,0,0,,Processo crime - absolvção de denúncia
REsp,1511385,,1306,false,0,0,,Agravo de execução de pena
AREsp,461554,,1488,false,0,0,,agravo em execução
AREsp,703143,,2423,false,0,0,,
AREsp,703143,,428,false,0,0,,
AREsp,703143,,2306,false,0,0,,
AREsp,642839,0,2455,false,5,4,,regime fechado
REsp,1484927,0,2673,false,0,0,,
AREsp,673950,0,211,false,0,0,,
AREsp,804276,0,1123,false,3,0,,Regime Fechado
AREsp,504877,0,2626,false,5,0,,Regime Fechado
REsp,1508165,0,357,false,0,0,,
AREsp,626935,,378,false,0,0,,processo não encontrado
AREsp,582663,0,1825,false,0,0,,Recurso em sentido estrito - pronúncia
AREsp,753909,0,286,false,4,2,,somente encontrei pelo nome da parte
AREsp,769789,1,1021,false,28,3,,
AREsp,546485,,784,false,0,0,,
REsp,1445189,0,1831,false,8,1,,
AREsp,802547,0,572,false,9,5,,
AREsp,738787,0,2450,false,3,6,,Regime Fechado
AREsp,680598,0,1766,false,1,6,,
AREsp,573576,1,1339,false,3,0,,Regime Fechado
AREsp,682679,,1808,false,0,0,,Agravo em Execução penal
REsp,1446078,0,2448,false,7,0,,Regime Fechado
AREsp,503530,0,180,false,1,0,,
REsp,1477914,0,1986,false,4,0,,
AREsp,746962,0,1411,false,8,6,,
REsp,1546508,0,472,false,2,0,,
AREsp,482149,,2066,false,0,0,,
AREsp,763414,,1132,false,0,0,,
AREsp,763414,,2631,true,0,0,,
AREsp,512290,,2148,false,0,0,,
AREsp,512290,,520,false,0,0,,
AREsp,512290,,2631,true,0,0,,
AREsp,512290,,2009,false,0,0,,
AREsp,790128,0,736,false,7,9,,Regime Fechado
AREsp,674922,0,1976,false,1,2,,
AREsp,654836,0,1382,false,2,0,,
AREsp,785765,0,641,true,8,2,,
AREsp,593466,0,2261,false,2,4,,
AREsp,610122,0,1430,false,6,11,,
AREsp,724231,,1046,false,0,0,,agravo em execução penal
AREsp,711817,,1936,false,0,0,,
AREsp,756933,0,1980,false,4,2,,
AREsp,787782,,147,false,0,0,,Recurso em sentido estrito - pronúncia
ARE,660579,,1546,false,0,0,,HC e execução penal
AI,836570,,1640,false,0,0,,não é possível ver decisões
AI,848033,,1915,false,0,0,,acórdão não disponível
ARE,721868,,1782,false,0,0,,processo não encontrado
RE,700394,1,1623,false,0,0,,
RE,700394,1,593,false,0,0,,
AI,794349,0,1848,false,0,10,,
AI,823694,,391,true,0,0,,Agravo em Execução penal
ARE,655758,0,2113,false,2,6,,
REsp,1510274,0,2648,false,1,0,,
AREsp,806580,0,1636,false,0,0,,tribunal do júri/sentença não encontrada
AREsp,457757,1,2490,false,11,8,,regime inicial fechado
AREsp,715204,,724,false,4,6,,
AREsp,734458,0,2249,false,8,0,,
AREsp,655374,0,1720,false,2,0,,
AREsp,780385,0,151,false,1,10,,penas restritivas de direitos
AREsp,749634,,1138,false,0,0,,agravo de execução
REsp,1490226,0,1722,false,5,4,,
AREsp,491785,0,961,false,4,4,,
AREsp,517976,,1643,false,0,0,,condenação à multa
AREsp,700964,0,669,false,9,10,,regime inicial fechado
AREsp,468905,1,961,false,6,6,,regime fechado
AREsp,784279,0,853,false,3,0,,penas restritivas de direitos
AREsp,461938,,433,false,0,0,,processo não está em tramitação
AREsp,619060,,1067,false,0,0,,processo não encontrado
AREsp,654803,0,2468,false,1,3,,regime semiaberto
AREsp,485529,0,1173,false,0,0,,sentença de pronúncia
AREsp,713002,0,1859,false,7,0,,
AREsp,583598,0,120,true,11,0,,
AREsp,604411,0,2622,false,3,9,,penas restritivas de direitos
AREsp,822705,1,120,true,12,4,,
AREsp,733691,0,2304,false,2,0,,penas restritivas de direitos
AREsp,577803,0,854,false,0,8,,penas restritivas de direitos
REsp,1532849,0,1859,false,3,6,,penas restritivas de direitos
AREsp,794964,0,1945,false,0,0,,réu absolvido na 2a instância
AREsp,627168,,2631,true,0,0,,
AREsp,760664,0,2132,true,0,0,,réu absolvido na 2a instância
REsp,1465263,,1808,false,0,0,,agravo de execução
REsp,1471822,,1808,false,0,0,,agravo de execução
AREsp,783777,1,570,false,7,6,,
AREsp,558074,0,813,false,5,0,,regime semiaberto
AREsp,556946,,52,false,0,0,,
AREsp,691642,0,15,false,5,4,,regime semiaberto
AREsp,545821,,309,false,0,0,,processo não encontrado
REsp,1496767,,2199,false,0,0,,segredo de justiça
AREsp,804193,0,427,false,0,0,,pena de prestação pecuniária
AREsp,648286,0,1380,true,1,3,,
REsp,1560094,1,815,false,0,0,,quantum não encontrado
AREsp,721412,,2455,false,0,0,,agravo de execução
REsp,1509481,0,80,false,0,0,,HC concedido na 2a instância
AREsp,656577,,428,false,0,0,,processo não encontrado
REsp,1525273,0,2186,false,0,0,,"Concedido HC, arquivamento do processo"
AREsp,733113,0,1833,false,4,0,,
AREsp,561300,0,1119,false,0,0,,Recurso do MP contra desprovimento da denúncia
REsp,1519732,0,1076,false,2,0,,
