Time,"Time Code","Country Name","Country Code","AIDS estimated deaths (UNAIDS estimates) [SH.DYN.AIDS.DH]","Children orphaned by HIV/AIDS [SH.HIV.ORPH]","Children with fever receiving antimalarial drugs (% of children under age 5 with fever) [SH.MLR.TRET.ZS]","CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]","Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP) [EG.USE.COMM.GD.PP.KD]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Forest area (% of land area) [AG.LND.FRST.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]","Population living in slums (% of urban population) [EN.POP.SLUM.UR.ZS]","Population, total [SP.POP.TOTL]","Vulnerable employment, female (% of female employment) [SL.EMP.VULN.FE.ZS]","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]"
1990,"YR1990","Colombia","COL","500","500","","1.6730257868294","93.8186237543638","2.994","58.0594862550698","","31.2","34271565","","79.8848"
1990,"YR1990","Comoros","COM","100","","","0.151457504239615","27.1009178465476","6.412","26.3299301450833","","65.4","411594","","112.4578"
1990,"YR1990","Congo, Dem. Rep.","COD","16000","80000","","0.117591196611624","245.775311917225","6.746","70.7364195761011","","","34614581","","129.3978"
1990,"YR1990","Congo, Rep.","COG","1200","3300","","0.486838325772591","62.757371362813","5.349","66.5475841874085","","","2440457","","131.8098"
1990,"YR1990","Costa Rica","CRI","100","500","","0.954653350538357","69.5770058636969","3.172","50.2154328241285","","","3095995","","93.1734"
1990,"YR1990","Cote d'Ivoire","CIV","10000","26000","","0.410408539330019","110.900738659277","6.622","32.1446540880503","","53.4","12267754","","156.048"
1990,"YR1990","Croatia","HRV","","","","","","1.63","33.0888928635307","","","4780000","","26.3734"
1990,"YR1990","Cuba","CUB","100","100","","3.1509899612373","","1.75","19.1620111731844","","","10582081","","75.802"
1990,"YR1990","Curacao","CUW","","","","","","","","","","145400","","51.7088"
1990,"YR1990","Cyprus","CYP","100","","","5.70656288562432","101.02884470594","2.411","17.4361471861472","","","766614","","28.4488"
1990,"YR1990","Czech Republic","CZE","100","","","","239.569938555516","1.9","34.0235537724861","","","10333355","","44.8534"
1990,"YR1990","Denmark","DNK","200","","","9.77069869920651","99.9472643902185","1.67","12.8143430054258","","","5140939","","9.0282"
1990,"YR1990","Djibouti","DJI","100","100","","0.54657366725497","","6.073","0.241587575496117","","","590398","","47.2616"
1990,"YR1990","Dominica","DMA","","","","0.827228378873756","44.3538737851504","","66.6666666666667","","16.6","70926","",""
1990,"YR1990","Dominican Republic","DOM","500","500","","1.28484027681204","102.040966328558","3.465","22.8731111571103","","27.9","7183647","","112.6582"
1990,"YR1990","Early-demographic dividend","EAR","","","","1.40325601890539","140.424191155461","4.22047830206801","24.4661303180334","70.89703","48.6370460918374","2031828081","","90.8108040008234"
1990,"YR1990","East Asia & Pacific","EAS","","","","2.58239558710996","199.937164709318","2.49781802187968","25.7710484849753","94.68731","46.6862169738263","1821481246","","26.9056801801249"
1990,"YR1990","East Asia & Pacific (excluding high income)","EAP","","","","1.78512156752207","309.638080596567","2.61709078312961","28.6912008256877","94.30797","46.6862169738263","1604526529","","29.0505462967835"
1990,"YR1990","East Asia & Pacific (IDA & IBRD)","TEA","","","","1.78151318930785","309.638080596567","2.62160239222351","28.3901529169221","94.23022","46.0398167317587","1584201525","","29.4239285345137"
1990,"YR1990","Ecuador","ECU","200","500","","1.64686955714135","82.9082104674901","3.767","52.8494798439532","96.194709777832","","10218091","","86.7772"
1990,"YR1990","Egypt, Arab Rep.","EGY","100","500","","1.32277721735697","95.0630310544829","4.663","0.0442011150735848","","50.2","57412215","","82.3556"
1990,"YR1990","El Salvador","SLV","100","200","","0.478002406857947","103.372396428833","3.964","18.1949806949807","","","5254984","","103.9888"
1990,"YR1990","Equatorial Guinea","GNQ","100","500","","0.154636566818009","","5.987","66.3101604278075","","","426846","","192.812"
1990,"YR1990","Eritrea","ERI","200","500","","","","6.387","","","69.9","3113311","","110.2524"
1990,"YR1990","Estonia","EST","100","","","","","2.05","52.0405756074546","","","1569174","","46.0602"
1990,"YR1990","Eswatini","SWZ","100","100","","0.493830198996254","66.6576345761105","5.619","27.4418604651163","","","861373","","129.0204"
1990,"YR1990","Ethiopia","ETH","13000","30000","","0.0627606499917773","731.531811167371","7.246","15.1998183469573","","95.5","48086516","","118.3444"
1990,"YR1990","Euro area","EMU","","","","","120.025069053156","1.53415775973448","34.3700057304164","99.15001","","311539698","","14.6489155234052"
1990,"YR1990","Europe & Central Asia","ECS","","","","","179.529323911293","1.95799754402768","37.271495819937","98.81597","","842848473","","36.2455819140063"
1990,"YR1990","Europe & Central Asia (excluding high income)","ECA","","","","","295.413592359919","2.34230001782635","38.3798227691676","98.39165","","385427446","","54.0960580631011"
1990,"YR1990","Europe & Central Asia (IDA & IBRD)","TEC","","","","","293.137773141008","2.30818585062771","38.2419264215397","98.51855","","428318228","","51.8582692715104"
1990,"YR1990","European Union","EUU","","","","8.57895636461407","134.200505937828","1.65812200002045","34.9613328100739","99.18344","","478005307","","22.306682813327"
1990,"YR1990","Faeroe Islands","FRO","","","","14.9472202378451","","2.8","0.0573065902578797","","","47594","",""
1990,"YR1990","Fiji","FJI","","","","1.11726971788073","66.5817769921177","3.398","52.1565407772304","","","728628","","63.0594"
1990,"YR1990","Finland","FIN","","","","10.3771689611267","196.902227565622","1.78","71.8178535079944","","","4986431","","11.918"
1990,"YR1990","Fragile and conflict affected situations","FCS","","","","0.741506441594247","","5.8806500451105","27.7705741835959","69.08982","","259301889","","108.592515520132"
